nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
ALETA ANNICK LOTOLOTOLUA,NA,NA,NA,NA,NA,NA,LOTOLOTOLUA ANNICK ALETA,"LOTOLOTOLUA Annick, Aleta",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:12,1,nouveau_2026_exact
ALEX TOURA,NA,NA,NA,NA,NA,NA,TOURA ALEX,TOURA Alex,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:35,1,nouveau_2026_exact
ALEXANDRA MACKENZIE MALIA SONIA,NA,NA,NA,NA,NA,NA,MACKENZIE ALEXANDRA MALIA SONIA,"MACKENZIE Alexandra, Malia, Sonia",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:04,1,nouveau_2026_exact
ALEXANDRE MACHFUL,NA,NA,NA,NA,NA,NA,MACHFUL ALEXANDRE,MACHFUL Alexandre,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:03,1,nouveau_2026_exact
ALEXANDRE MICHAEL TAURAATUA,NA,NA,NA,NA,NA,NA,TAURAATUA MICHAEL ALEXANDRE,TAURAATUA Michaël Alexandre,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:37,1,nouveau_2026_exact
ALICE LAUOUVEA,NA,NA,NA,NA,NA,NA,LAUOUVEA ALICE,… LAUOUVEA Alice,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:19,1,nouveau_2026_exact
ALINE DELBREIL HNYALO THUPAKO,NA,NA,NA,NA,NA,NA,THUPAKO DELBREIL ALINE HNYALO,THUPAKO DELBREIL Aline Hnyalo,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:20,1,nouveau_2026_exact
ALINYLS,NA,NA,NA,NA,NA,NA,ALINYLS,ALINyls,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:32,1,nouveau_2026_exact
ALIZEE CAGNEWA,NA,NA,NA,NA,NA,NA,CAGNEWA ALIZEE,CAGNEWA Alizée,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:26,1,nouveau_2026_exact
ALLARD NADINE PIDJOT,NA,NA,NA,NA,NA,NA,PIDJOT ALLARD NADINE,PIDJOT-ALLARD Nadine,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:02,1,nouveau_2026_exact
ALOSIO FERNANDE MANU,NA,NA,NA,NA,NA,NA,ALOSIO FERNANDE MANU,ALOSIO FERNANDE MANU,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:24,1,nouveau_2026_exact
ALOSIO GAIA NIKITA,NA,NA,NA,NA,NA,NA,GAIA ALOSIO NIKITA,GAIA ép. ALOSIO Nikita,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:12,1,nouveau_2026_exact
ALOSIO ROGER,NA,NA,NA,NA,NA,NA,ALOSIO ROGER,ALOSIO Roger,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:44,1,nouveau_2026_exact
ALPHONSE CAWIDRONE,NA,NA,NA,NA,NA,NA,CAWIDRONE ALPHONSE,CAWIDRONE Alphonse,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,Province des Iles:23,1,nouveau_2026_exact
ALPHONSE JEAN PHILIPPE THIA,NA,NA,NA,NA,NA,NA,THIA ALPHONSE JEAN PHILIPPE,"THIA ALPHONSE, JEAN-PHILIPPE",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:27,1,nouveau_2026_exact
ALT ANNEXE CANDIDATURES DES FIXANT LA LISTE,NA,NA,NA,NA,NA,NA,ANNEXE FIXANT LA LISTE DES CANDIDATURES ALT,ANNEXE FIXANT LA LISTE DES CANDIDATURES ALT,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:32,1,nouveau_2026_exact
ALYSSE CITRE SHINILANNE WAJOJO,NA,NA,NA,NA,NA,NA,CITRE ALYSSE WAJOJO SHINILANNE,CITRE Alysse Wajojo Shinilanne,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:24,1,nouveau_2026_exact
AMANDA SANTAROSSA,NA,NA,NA,NA,NA,NA,SANTAROSSA AMANDA,SANTAROSSA Amanda,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,Province Nord:07,1,nouveau_2026_exact
AMANDINE BUI DUYET TRAN,NA,NA,NA,NA,NA,NA,TRAN BUI DUYET AMANDINE,TRAN épouse BUI-DUYET Amandine,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:09,1,nouveau_2026_exact
AMANDINE DARRAS,NA,NA,NA,NA,NA,NA,DARRAS AMANDINE,DARRAS Amandine,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:08,1,nouveau_2026_exact
AMIOT STEPHANIE,NA,NA,NA,NA,NA,NA,AMIOT STEPHANIE,AMIOT STEPHANIE,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:48,1,nouveau_2026_exact
AMOLE JOSEPH,NA,NA,NA,NA,NA,NA,AMOLE JOSEPH,AMOLE Joseph,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:50,1,nouveau_2026_exact
AMOSALA TOMASI,NA,NA,NA,NA,NA,NA,AMOSALA TOMASI,AMOSALA Tomasi,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:26,1,nouveau_2026_exact
AMOURA ANNICK NEKIRIAI,NA,NA,NA,NA,NA,NA,NEKIRIAI ANNICK AMOURA,NEKIRIAI Annick Amoura,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:30,1,nouveau_2026_exact
ANAISE MEANDU POVEU,NA,NA,NA,NA,NA,NA,MEANDU POVEU ANAISE,MEANDU-POVEU Anaise,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:20,1,nouveau_2026_exact
ANDRE CATHLEEN,NA,NA,NA,NA,NA,NA,ANDRE CATHLEEN,ANDRE Cathleen,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:06,1,nouveau_2026_exact
ANDRE DUQUESNE HERVE,NA,NA,NA,NA,NA,NA,DUQUESNE HERVE ANDRE,"DUQUESNE Hervé, André",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:39,1,nouveau_2026_exact
ANDRE LYON,NA,NA,NA,NA,NA,NA,LYON ANDRE,LYON André,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:49,1,nouveau_2026_exact
ANDRE OZIKA ZIKON,NA,NA,NA,NA,NA,NA,OZIKA ZIKON ANDRE,OZIKA Zikon André,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:05,1,nouveau_2026_exact
ANDRE POTHIN SELEFEN,NA,NA,NA,NA,NA,NA,SELEFEN POTHIN ANDRE,"SELEFEN Pothin, André",Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:27,1,nouveau_2026_exact
ANDRE WAYENECE,NA,NA,NA,NA,NA,NA,WAYENECE ANDRE,WAYENECE André,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:09,1,nouveau_2026_exact
ANDREA ERU NEPWE,NA,NA,NA,NA,NA,NA,NEPWE ERU ANDREA,NEPWE-ERU Andrea,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:12,1,nouveau_2026_exact
ANDREE HNAWIA WAIJAIJA WENETHEM,NA,NA,NA,NA,NA,NA,HNAWIA WENETHEM ANDREE WAIJAIJA,HNAWIA ép. WENETHEM Andrée Waijaija,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,Province des Iles:24,1,nouveau_2026_exact
ANDRY STELLA,NA,NA,NA,NA,NA,NA,ANDRY STELLA,ANDRY Stella,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:12,1,nouveau_2026_exact
ANDY MALO,NA,NA,NA,NA,NA,NA,MALO ANDY,MALO ANDY,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:43,1,nouveau_2026_exact
ANGELINA LACROSE,NA,NA,NA,NA,NA,NA,LACROSE ANGELINA,LACROSE Angélina,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:02,1,nouveau_2026_exact
ANGELIQUE MACCAM,NA,NA,NA,NA,NA,NA,MACCAM ANGELIQUE,MACCAM Angélique,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:40,1,nouveau_2026_exact
ANGELO PITO TERIIEHOAMAROTETINITAHUEA,NA,NA,NA,NA,NA,NA,PITO ANGELO TERIIEHOAMAROTETINITAHUEA,PITO Angelo Teriiehoamarotetinitahuéa,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:29,1,nouveau_2026_exact
ANGLEBERMES MEGANE ODETTE,NA,NA,NA,NA,NA,NA,D ANGLEBERMES MEGANE ODETTE,"D'ANGLEBERMES Mégane, Odette",Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:10,1,nouveau_2026_exact
ANGY BOEHE SINGRIDE,NA,NA,NA,NA,NA,NA,BOEHE ANGY SINGRIDE,BOËHE Angy Singride,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:08,1,nouveau_2026_exact
ANITA LOTOLOTOLUA,NA,NA,NA,NA,NA,NA,LOTOLOTOLUA ANITA,LOTOLOTOLUA Anita,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:22,1,nouveau_2026_exact
ANNA HNACEMA TOMA,NA,NA,NA,NA,NA,NA,TOMA HNACEMA ANNA,TOMA épouse HNACEMA Anna,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,Province des Iles:16,1,nouveau_2026_exact
ANNA MARIE ROSE WADRENGES,NA,NA,NA,NA,NA,NA,WADRENGES ANNA ROSE MARIE,WADRENGES Anna Rose-Marie,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:10,1,nouveau_2026_exact
ANNE DOUEPERE PASCALE,NA,NA,NA,NA,NA,NA,DOUEPERE ANNE PASCALE,DOUEPERE Anne Pascale,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:26,1,nouveau_2026_exact
ANNE GAZENGEL GERALDINE MARIE,NA,NA,NA,NA,NA,NA,GAZENGEL ANNE MARIE GERALDINE,GAZENGEL Anne-Marie Géraldine,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:04,1,nouveau_2026_exact
ANNE GERMAINE LAURE NICOLI SIMONE,NA,NA,NA,NA,NA,NA,NICOLI ANNE LAURE SIMONE GERMAINE,NICOLI Anne-Laure Simone Germaine,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,Province Nord:15,1,nouveau_2026_exact
ANNE MARIE SOLANGE WAHMOWE,NA,NA,NA,NA,NA,NA,WAHMOWE SOLANGE ANNE MARIE,WAHMOWE SOLANGE ANNE-MARIE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:20,1,nouveau_2026_exact
ANNE TRAN,NA,NA,NA,NA,NA,NA,TRAN ANNE,TRAN Anne,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:14,1,nouveau_2026_exact
ANNEXE CALEDONNE CANDIDATURES DES FIXANT LA LISTE ROUVELLE,NA,NA,NA,NA,NA,NA,ANNEXE FIXANT LA LISTE DES CANDIDATURES A ROUVELLE CALEDONNE,ANNEXE FIXANT LA LISTE DES CANDIDATURES A ROUVELLE CALÉDONNE,Province Sud,"Province Sud - 03 - FRANCE CALEDONIE, UNE PATRIE",Province Sud:31,1,nouveau_2026_exact
ANNEXE CANDIDATURES DES EN FIXANT LA LISTE RO,NA,NA,NA,NA,NA,NA,ANNEXE FIXANT LA LISTE DES CANDIDATURES EN RO,ANNEXE FIXANT LA LISTE DES CANDIDATURES EN RO,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:32,1,nouveau_2026_exact
ANNICK LAPETITE MARIELLE,NA,NA,NA,NA,NA,NA,LAPETITE MARIELLE ANNICK,LAPETITE Marielle Annick,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:46,1,nouveau_2026_exact
ANNIE CITRE INES LYSE THELEMO,NA,NA,NA,NA,NA,NA,CITRE THELEMO INES ANNIE LYSE,"CITRE Thelemo, Ines, Annie-Lyse",Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:46,1,nouveau_2026_exact
ANNIE HULIWA WATIXENE,NA,NA,NA,NA,NA,NA,HULIWA WATIXENE ANNIE,HULIWA Watixenë Annie,Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:09,1,nouveau_2026_exact
ANNIE JINEZI QAEZE,NA,NA,NA,NA,NA,NA,QAEZE JINEZI ANNIE,QAEZE Jinézi Annie,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:06,1,nouveau_2026_exact
ANOSIATA MYRIAM PUAPUA,NA,NA,NA,NA,NA,NA,PUAPUA MYRIAM ANOSIATA,PUAPUA Myriam Anosiata,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:34,1,nouveau_2026_exact
ANTHONY BASSI,NA,NA,NA,NA,NA,NA,BASSI ANTHONY,BASSI Anthony,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:15,1,nouveau_2026_exact
ANTOINE HMAE,NA,NA,NA,NA,NA,NA,HMAE ANTOINE,HMAE Antoine,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:17,1,nouveau_2026_exact
ANTOINE ROMAIN,NA,NA,NA,NA,NA,NA,ROMAIN ANTOINE,ROMAIN Antoine,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:48,1,nouveau_2026_exact
ANTONIO HENRI KEYRAN LEILAGI PEAUTAU,NA,NA,NA,NA,NA,NA,PEAUTAU KEYRAN LEILAGI HENRI ANTONIO,"PEAUTAU Keyran, Leilagi, Henri, Antonio",Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:30,1,nouveau_2026_exact
ANTONIO MARTIN,NA,NA,NA,NA,NA,NA,MARTIN ANTONIO,MARTIN Antonio,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,Province Nord:08,1,nouveau_2026_exact
ANTONIO NEWEDOU,NA,NA,NA,NA,NA,NA,NEWEDOU ANTONIO,NEWEDOU Antonio -,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:13,1,nouveau_2026_exact
AOUNITE HY NAAOUTCHOUE SEPHORA,NA,NA,NA,NA,NA,NA,HY AOUNITE NAAOUTCHOUE SEPHORA,HY AOUNITE épouse NAAOUTCHOUE Sephora,Province Nord,Province Nord - 03 - UC FLNKS,Province Nord:18,1,nouveau_2026_exact
AOURIGNA ATINOUA SANDRINE,NA,NA,NA,NA,NA,NA,AOURIGNA ATINOUA SANDRINE,AOURIGNA ép ATINOUA Sandrine,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:20,1,nouveau_2026_exact
APIKAOUA JONATHAN JOSEPH THIERRY,NA,NA,NA,NA,NA,NA,APIKAOUA JONATHAN THIERRY JOSEPH,"APIKAOUA Jonathan, Thierry, Joseph",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:13,1,nouveau_2026_exact
APPAVOU ERICK,NA,NA,NA,NA,NA,NA,APPAVOU ERICK,APPAVOU Erick,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:31,1,nouveau_2026_exact
APRYL PALADINI SHARON,NA,NA,NA,NA,NA,NA,PALADINI APRYL SHARON,"PALADINI Apryl, Sharon",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:28,1,nouveau_2026_exact
APUERI ELE HMAEA HNAWIA SIMONE,NA,NA,NA,NA,NA,NA,HNAWIA ELE HMAEA SIMONE APUERI,HNAWIA EPOUSE ELE-HMAEA SIMONE APUERI,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:10,1,nouveau_2026_exact
ARCANGELO COURTOT MARYLINE,NA,NA,NA,NA,NA,NA,COURTOT D ARCANGELO MARYLINE,COURTOT épouse D'ARCANGELO Maryline,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:43,1,nouveau_2026_exact
ARMANDE CAPOA FELLAH VIVIANE,NA,NA,NA,NA,NA,NA,A CAPOA VIVIANE ARMANDE FELLAH,À CAPOA Viviane Armande Fellah,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:04,1,nouveau_2026_exact
ARMELLE DOMINIQUE GILDA MADRARU,NA,NA,NA,NA,NA,NA,MADRARU ARMELLE GILDA DOMINIQUE,MADRARU Armelle Gilda Dominique,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:28,1,nouveau_2026_exact
ARMELLE VERONS,NA,NA,NA,NA,NA,NA,VERONS ARMELLE,VERONS Armelle,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:14,1,nouveau_2026_exact
ARNOLD LEQUES,NA,NA,NA,NA,NA,NA,LEQUES ARNOLD,LEQUES Arnold,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:01,1,nouveau_2026_exact
ARNOULD DOMINIQUE,NA,NA,NA,NA,NA,NA,ARNOULD DOMINIQUE,ARNOULD Dominique,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:41,1,nouveau_2026_exact
ARR,NA,NA,NA,NA,NA,NA,F ARR,F Arr,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:30,1,nouveau_2026_exact
ASINOC SALIGA,NA,NA,NA,NA,NA,NA,SALIGA ASINOC,SALIGA Asinoc,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:34,1,nouveau_2026_exact
ASKARTI MAY ROSE,NA,NA,NA,NA,NA,NA,ASKARTI ROSE MAY,ASKARTI Rose-May,Province Sud,"Province Sud - 03 - FRANCE CALEDONIE, UNE PATRIE",Province Sud:20,1,nouveau_2026_exact
ASSANOUMA JORDHAN,NA,NA,NA,NA,NA,NA,ASSANOUMA JORDHAN,ASSANOUMA Jordhan,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:11,1,nouveau_2026_exact
ASTRID GOPOEA,NA,NA,NA,NA,NA,NA,GOPOEA ASTRID,GOPOEA Astrid,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:16,1,nouveau_2026_exact
ATELEA TAOFIFENUA,NA,NA,NA,NA,NA,NA,TAOFIFENUA ATELEA,TAOFIFENUA Atéléa :,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:13,1,nouveau_2026_exact
ATINOUA JOE,NA,NA,NA,NA,NA,NA,ATINOUA JOE,ATINOUA Joe,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:07,1,nouveau_2026_exact
ATINOUA MARTIAL PATRICE,NA,NA,NA,NA,NA,NA,ATINOUA PATRICE MARTIAL,"ATINOUA PATRICE, MARTIAL",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:23,1,nouveau_2026_exact
ATRUA LALIE,NA,NA,NA,NA,NA,NA,LALIE ATRUA,LALIE Atrua,Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:15,1,nouveau_2026_exact
ATTI LARY,NA,NA,NA,NA,NA,NA,ATTI LARY,ATTI Lary,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:15,1,nouveau_2026_exact
AUA MARIE ODILE WADRENGES WAZIZI,NA,NA,NA,NA,NA,NA,WADRENGES WAZIZI MARIE ODILE AUA,"WADRENGES ép. WAZIZI Marie-Odile, Aua",Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:02,1,nouveau_2026_exact
AUCHER HONAKOKO RACHELLE,NA,NA,NA,NA,NA,NA,HONAKOKO AUCHER RACHELLE,HONAKOKO ép. AUCHER Rachelle,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:16,1,nouveau_2026_exact
AUDE CACO,NA,NA,NA,NA,NA,NA,CACO AUDE,CACO Aude,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:41,1,nouveau_2026_exact
AUDE CLAUDE KARENE LEGRAS,NA,NA,NA,NA,NA,NA,LEGRAS AUDE KARENE CLAUDE,"LEGRAS Aude, Karene, Claude",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:30,1,nouveau_2026_exact
AUDREY BAOUTUAU,NA,NA,NA,NA,NA,NA,BAOUTUAU AUDREY,BAOUTUAU Audrey,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:14,1,nouveau_2026_exact
AUDREY DUVAL,NA,NA,NA,NA,NA,NA,DUVAL AUDREY,DUVAL Audrey,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:36,1,nouveau_2026_exact
AUDREY MARIE PAITA,NA,NA,NA,NA,NA,NA,PAITA MARIE AUDREY,PAITA Marie-Audrey,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:16,1,nouveau_2026_exact
AUGUSTE DILLENSEGER JULIEN RENE,NA,NA,NA,NA,NA,NA,DILLENSEGER JULIEN AUGUSTE RENE,DILLENSEGER Julien Auguste René,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:07,1,nouveau_2026_exact
AUGUSTINE CLEMENCE LYSA MACCAM MARCELLINE,NA,NA,NA,NA,NA,NA,MACCAM LYSA AUGUSTINE MARCELLINE CLEMENCE,MACCAM Lysa Augustine Marcelline Clemence,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:50,1,nouveau_2026_exact
AUGUSTINE DUQUESNE JEANNE LAURIA,NA,NA,NA,NA,NA,NA,DUQUESNE LAURIA AUGUSTINE JEANNE,"DUQUESNE Lauria, Augustine, Jeanne",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:44,1,nouveau_2026_exact
AUGUSTINE MARIE WABEALO,NA,NA,NA,NA,NA,NA,WABEALO MARIE AUGUSTINE,WABEALO Marie-Augustine,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:50,1,nouveau_2026_exact
AURELIA KAATEU,NA,NA,NA,NA,NA,NA,KAATEU AURELIA,KAATEU AURELIA,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:26,1,nouveau_2026_exact
AURELIA KATRAWA,NA,NA,NA,NA,NA,NA,KATRAWA AURELIA,KATRAWA Aurélia,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:05,1,nouveau_2026_exact
AURELIE JEANNE POUKIOU,NA,NA,NA,NA,NA,NA,POUKIOU AURELIE JEANNE R,"POUKIOU Aurélie, Jeanne r",Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:44,1,nouveau_2026_exact
AURORE EMILIE MATHILDE PEBOU POLAE,NA,NA,NA,NA,NA,NA,PEBOU POLAE EMILIE AURORE MATHILDE,"PEBOU-POLAE Emilie, Aurore, Mathilde",Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:24,1,nouveau_2026_exact
AUTO TIPOTIO,NA,NA,NA,NA,NA,NA,TIPOTIO AUTO,TIPOTIO Auto,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:07,1,nouveau_2026_exact
AVALLARD BENOIT DIDIER RAYMOND,NA,NA,NA,NA,NA,NA,AVALLARD BENOIT DIDIER RAYMOND,"AVALLARD BENOÎT, DIDIER, RAYMOND",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:07,1,nouveau_2026_exact
AVARGUEZ MARTINE,NA,NA,NA,NA,NA,NA,AVARGUEZ MARTINE,AVARGUEZ Martine,Province Sud,"Province Sud - 03 - FRANCE CALEDONIE, UNE PATRIE",Province Sud:30,1,nouveau_2026_exact
AVILA KELLY,NA,NA,NA,NA,NA,NA,AVILA KELLY,AVILA Kelly,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:43,1,nouveau_2026_exact
AWA MAURICE WAKA,NA,NA,NA,NA,NA,NA,WAKA AWA MAURICE,WAKA-AWA Maurice,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:01,1,nouveau_2026_exact
AXEL COULON MICHEL PIERRE,NA,NA,NA,NA,NA,NA,COULON AXEL MICHEL PIERRE,COULON Axel Michel Pierre,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:10,1,nouveau_2026_exact
AYAWA JEAN MARIE,NA,NA,NA,NA,NA,NA,AYAWA JEAN MARIE,AYAWA Jean-Marie,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:09,1,nouveau_2026_exact
BABIN ELISABETH,NA,NA,NA,NA,NA,NA,BABIN ELISABETH,BABIN Elisabeth,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:44,1,nouveau_2026_exact
BACOUR DE STELLA,NA,NA,NA,NA,NA,NA,DE BACOUR STELLA,DE BACOUR Stella,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:48,1,nouveau_2026_exact
BAE LOUISE MARIE,NA,NA,NA,NA,NA,NA,BAE MARIE LOUISE,BAE MARIE-LOUISE,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:28,1,nouveau_2026_exact
BAEE DIANE,NA,NA,NA,NA,NA,NA,BAEE DIANE,BAËE Diane,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:15,1,nouveau_2026_exact
BAI PATRICK TEIN,NA,NA,NA,NA,NA,NA,TEIN BAI PATRICK,TEIN BAI Patrick,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:42,1,nouveau_2026_exact
